idx,raw_log_prediction,raw_log_confidence,raw_knn_prediction,raw_knn_confidence,raw_lightgbc_prediction,raw_lightgbc_confidence,+pts_log_prediction,+pts_log_confidence,+pts_lightgbc_prediction,+pts_lightgbc_confidence,+pts_linsvc_prediction,+pts_linsvc_confidence,raw_keras_prediction,raw_keras_confidence,accuracy_voter_prediction,accuracy_voter_confidence,loss_voter_prediction,loss_voter_confidence,combined_voter_prediction,combined_voter_confidence
2017-11-10Central_FL,1,0.5031182914008049,1,0.5340909090909091,0,0.5013423521461513,0,0.5448161877459494,1,0.509161888183962,0,0.5123004529331152,1,0.5053977966308594,1,0.5019937841047044,0,0.5003511685001707,1,0.5008213077528515
2017-11-10Chattanooga,0,0.5131727861586429,0,0.5454545454545454,0,0.5119117388184866,0,0.512011074598953,0,0.5193937361101137,1,0.5,1,0.5061325430870056,0,0.5148567675877201,0,0.5146096878643118,0,0.5147332277276887
2017-11-10Clemson,0,0.5016794135487745,1,0.5340909090909091,0,0.5058893201498023,0,0.507875214986544,1,0.5206343247675148,0,0.5086741363724404,1,0.5076684355735779,1,0.5066280694871251,1,0.5059922488769154,1,0.5063101591820865
2017-11-10Col_Charlestn,0,0.5126448470003497,1,0.5454545454545454,1,0.5167677663407552,0,0.5356336648493816,0,0.5502923803275233,0,0.5109787505451308,0,0.5270889401435852,0,0.5054956721252915,0,0.5087878945407858,0,0.5071417833289165
2017-11-10Colorado,0,0.5147270955560089,0,0.5113636363636364,1,0.51006904173772,1,0.5095359934705664,1,0.5113386922135778,1,0.5,0,0.5132686793804169,0,0.5038477332146298,0,0.5015809078766338,0,0.5027143205473433
2017-11-10Colorado_St,0,0.502088467744384,1,0.625,1,0.5000320622141052,0,0.5266801234694015,1,0.5033267622171504,0,0.5097603911901142,1,0.5122891068458557,1,0.5218556289956651,1,0.5174154992608265,1,0.519635564133121
2017-11-10Columbia,0,0.5176015874170876,1,0.5340909090909091,0,0.5194741604393203,0,0.5302920557132753,0,0.5376673864848751,1,0.5,0,0.5174089968204498,0,0.509653622834652,0,0.5112917303725493,0,0.5104726765990487
2017-11-10Cornell,0,0.5236352240600411,1,0.5568181818181818,0,0.5050869547220589,1,0.512912442848713,0,0.5271038258235448,1,0.5,0,0.5317673981189728,0,0.5007424350814028,0,0.5006295812982305,0,0.5006860081849597
2017-11-10Creighton,0,0.5142311243991815,0,0.5454545454545454,0,0.5059216457290502,1,0.5081456876924569,1,0.5422510623601121,0,0.5062379819266084,0,0.5055012702941895,0,0.5094972693699129,0,0.5054382785420866,0,0.5074677739608373
2017-11-10Dayton,0,0.5096389895122327,1,0.5909090909090909,1,0.5160119858068132,0,0.5003492269557259,0,0.5211064753039498,0,0.5052822345291832,0,0.5082497000694275,1,0.5142613432224497,1,0.5113842225184608,1,0.5128227828749219
2017-11-10Delaware,0,0.5251565159142004,1,0.6022727272727273,0,0.5139331431189134,0,0.5275129718285385,0,0.5389351808277747,1,0.5,0,0.5141694247722626,1,0.5035937187185728,1,0.5004303675089535,1,0.5020120431209709
2017-11-10Detroit,0,0.5337985302479419,1,0.5340909090909091,1,0.5047785142779578,0,0.5170578910579384,1,0.5070890695941582,0,0.5050224481690098,0,0.5361967086791992,0,0.5078674208389814,0,0.5057734520779433,0,0.5068204364574824
2017-11-10Drexel,0,0.5105271553048962,0,0.5340909090909091,0,0.5069245092014502,1,0.5151233414652202,0,0.5216513825465208,1,0.5,0,0.5112176537513733,0,0.5114092055097795,0,0.5103044845005772,0,0.5108568450054196
