idx,raw_log_prediction,raw_log_confidence,raw_lightgbc_prediction,raw_lightgbc_confidence,+pts_lightgbc_prediction,+pts_lightgbc_confidence,+pts_log_prediction,+pts_log_confidence,+pts_linsvc_prediction,+pts_linsvc_confidence,+pts_knn_prediction,+pts_knn_confidence,raw_keras_prediction,raw_keras_confidence,accuracy_voter_prediction,accuracy_voter_confidence,loss_voter_prediction,loss_voter_confidence,combined_voter_prediction,combined_voter_confidence
2018-01-11SE_Missouri,0,0.5174010252656629,0,0.5126359595093648,1,0.5054360804824075,1,0.5012955835993343,1,0.5,1,0.5050505050505051,0,0.5281456410884857,0,0.5069487724130803,0,0.5069390572749317,0,0.5069439147677567
2018-01-11SIU_Edward,0,0.5023800108591574,0,0.5023847070002798,0,0.5430779351708679,1,0.5075035008416973,1,0.5,1,0.5303030303030303,0,0.5099958181381226,0,0.5064070605164841,0,0.5044955865546336,0,0.5054513234618357
2018-01-11S_Dakota_St,0,0.52094515502275,1,0.5199650611651534,1,0.5580842341216801,1,0.5113338259801524,1,0.5103129440209841,1,0.5101010101010099,0,0.502760112285614,1,0.5158706482390624,1,0.5129238350117945,1,0.5143972415499722
2018-01-11S_Mississippi,1,0.5036340228450884,1,0.5015206629663148,1,0.5140300983586027,0,0.508742656998594,1,0.5,0,0.5656565656565656,1,0.5044080018997192,0,0.5028338207945574,0,0.5047151368481745,0,0.5037744787433408
2018-01-11Sac_State,0,0.5151407769575042,0,0.5067550774972667,0,0.5336957005032039,0,0.5145289942628073,0,0.5152196835209196,0,0.5202020202020202,0,0.5128113031387329,0,0.5167736168615176,0,0.5168486780051869,0,0.5168111473562473
2018-01-11Samford,1,0.5254057732628538,1,0.5027119770035873,1,0.5923581109127249,1,0.5234759444494279,1,0.5159605603974137,0,0.5050505050505051,1,0.5081365704536438,1,0.5265600418821663,1,0.5249271076152293,1,0.5257435746725444
2018-01-11San_Diego,1,0.5087362225865896,1,0.5032163858334858,1,0.5023788475902887,0,0.5054827380853808,1,0.5,0,0.5050505050505051,1,0.505485475063324,1,0.5016219323427933,1,0.5015874145019414,1,0.5016046733470223
2018-01-11San_Fransco,1,0.5108055564741033,0,0.5007514350733637,1,0.5073835424840307,1,0.5139819139954024,1,0.5132410410621033,0,0.5050505050505051,1,0.5077173709869385,1,0.5067617320488673,1,0.5071635233917495,1,0.5069626276450582
2018-01-11Santa_Clara,1,0.5010440114535503,0,0.5115636258016315,0,0.5005736944637631,1,0.5035541810301352,0,0.5090431680756213,1,0.5151515151515151,1,0.5030156373977661,0,0.5012879090607191,0,0.5004904182409957,0,0.5008891635760889
2018-01-11Siena,1,0.5068530023075972,0,0.5055290054905031,1,0.5139735628156414,1,0.5011479446446826,1,0.5052849849520147,0,0.5050505050505051,0,0.5051282346248627,1,0.5018396638926607,1,0.5019946415615615,1,0.5019171526522973
2018-01-11South_Dakota,1,0.5032034329096335,1,0.5014454173112203,1,0.5012219176754704,1,0.50096858769631,1,0.5085023433387446,0,0.5050505050505051,0,0.5012173652648926,1,0.5014549227005316,1,0.5015568555229719,1,0.5015058890367718
2018-01-11St_Marys,1,0.5171652984790541,0,0.5080540520576884,1,0.5332104553115575,1,0.5284536229793977,1,0.5238686261781492,1,0.5050505050505051,1,0.5344599485397339,1,0.5186530554836166,1,0.5195124632766782,1,0.5190827593044393
2018-01-11Stanford,1,0.5194599360540767,1,0.5146133619015836,1,0.5647605989808582,1,0.5026267350652557,1,0.5,1,0.5606060606060606,1,0.5200552344322205,1,0.5253640279823898,1,0.5249074351168272,1,0.5251357314698746
2018-01-11TN_Martin,0,0.5191979107698046,0,0.502699244097597,0,0.5176827819553762,1,0.5045489537823397,1,0.5,1,0.5252525252525253,0,0.5334511399269104,0,0.5078524422720482,0,0.507361969998227,0,0.5076072060603054
2018-01-11TN_State,1,0.5227014639232022,1,0.5031928096972851,1,0.542098588577026,1,0.5105241655804235,1,0.5054329638776124,1,0.5151515151515151,1,0.5353714823722839,1,0.5193663163156581,1,0.5193473296086125,1,0.519356822885083
2018-01-11TN_Tech,1,0.5083569696781906,0,0.5010448152416851,0,0.5024895748940008,1,0.5273363822637603,1,0.5069968619788701,1,0.6010101010101011,1,0.52299565076828,1,0.5167801624539103,1,0.5197541719212958,1,0.518267167107187
2018-01-11TX-Arlington,1,0.505733695930479,0,0.5223705133074996,0,0.518558205644682,0,0.5046840864069648,1,0.5,0,0.5252525252525253,1,0.5066406726837158,0,0.5093703015726322,0,0.507981673225184,0,0.5086759873218135
2018-01-11TX-San_Ant,0,0.5176749334357904,0,0.5075723580289079,1,0.5000653269169163,0,0.5062815470970736,1,0.5,1,0.5303030303030303,0,0.5103106796741486,0,0.5034975214941803,0,0.5029286919510236,0,0.5032131066478547
2018-01-11TX_El_Paso,0,0.5150105409270679,0,0.5003405842256226,0,0.5171125858297583,0,0.5008237257698395,1,0.5,0,0.6010101010101011,0,0.5032497942447662,0,0.5138344412049322,0,0.5162819028118395,0,0.5150581719275678
2018-01-11Texas_State,1,0.5138228818748601,0,0.5100854848212386,1,0.5140056770590111,0,0.5002150305769121,1,0.5,1,0.5050505050505051,1,0.5171205997467041,1,0.5047575171474321,1,0.5055657374714478,1,0.5051616272340006
2018-01-11Towson,0,0.5142042385795169,0,0.5090326108882811,0,0.5096449924564316,1,0.5051008535379802,1,0.5,1,0.5101010101010099,0,0.506591260433197,0,0.5046064452609954,0,0.5041057163662002,0,0.504356080737941
2018-01-11Tulsa,1,0.5106916533154625,0,0.5042830636520179,1,0.5100137915756782,0,0.5149970262892027,0,0.5062195792831593,0,0.5505050505050505,1,0.5199929475784302,0,0.5022718993010155,0,0.5032156224109933,0,0.5027437607787996
2018-01-11UAB,0,0.5189412675223325,1,0.5011949049867199,1,0.5087065713131144,1,0.5128665498833113,1,0.5093844600942518,1,0.5606060606060606,0,0.5032128989696503,1,0.5073015752822829,1,0.508022409114459,1,0.507661992121228
2018-01-11UCLA,0,0.5123418831891755,0,0.5077091096119274,0,0.5150368701908327,1,0.5121932328105988,1,0.5069345744177052,0,0.6010101010101011,1,0.5228725671768188,0,0.5083045685037781,0,0.5100978892999991,0,0.5092012288208355
