idx,raw_lightgbc_prediction,raw_lightgbc_confidence,raw_log_prediction,raw_log_confidence,raw_linsvc_prediction,raw_linsvc_confidence,raw_knn_prediction,raw_knn_confidence,+pts_log_prediction,+pts_log_confidence,raw_keras_prediction,raw_keras_confidence,accuracy_voter_prediction,accuracy_voter_confidence,loss_voter_prediction,loss_voter_confidence,combined_voter_prediction,combined_voter_confidence
2017-12-02Charlotte,0,0.5836939690346863,0,0.5767888374037131,0,0.5955104702677144,0,0.6445783132530121,0,0.6458272179128737,0,0.5901443064212799,0,0.5944035963830075,0,0.6015594640800364,0,0.5979815301709821
2017-12-02Chattanooga,1,0.6949766955430371,1,0.6802378450485002,1,0.6824459778112336,1,0.6987951807228916,1,0.5592004953123305,1,0.7007243037223816,1,0.679794159607751,1,0.6737044775956285,1,0.6767493185390914
2017-12-02Cincinnati,0,0.602374142798355,0,0.5792973555600953,0,0.6081725179502805,0,0.6445783132530121,0,0.5582480843695861,0,0.5699485242366791,0,0.5989168280069457,0,0.5999261518624998,0,0.5994214898781354
2017-12-02Cleveland_St,0,0.8066690929630004,0,0.7839050691217466,0,0.788782551506577,0,0.7891566265060241,0,0.8607215379181699,0,0.8055659979581833,0,0.7968342772547832,0,0.8003129304612484,0,0.7985736037748902
2017-12-02Colorado,1,0.5026899613253932,1,0.5040854859223646,0,0.5349214202352799,1,0.5120481927710844,0,0.5323384940536688,1,0.5201151967048645,0,0.5085360448749134,0,0.5083465428249602,0,0.5084412938004047
2017-12-02Colorado_St,1,0.5359661948588281,1,0.5505260615097752,1,0.5718506806120541,1,0.572289156626506,0,0.5015559888190317,1,0.5405126810073853,1,0.5512406315988887,1,0.5494754602748516,1,0.550358045886216
2017-12-02Connecticut,1,0.6727866707811629,1,0.6223126022276173,1,0.6330518286365363,1,0.5783132530120482,1,0.5646555706392896,1,0.6374657154083252,1,0.6324030251510778,1,0.6239943815408596,1,0.6281987032846337
2017-12-02Cornell,0,0.6196262226308221,0,0.580039014836525,0,0.58076135102306,0,0.6204819277108434,0,0.5804334484941871,0,0.6094284951686859,0,0.5955319874860379,0,0.5966337963649306,0,0.5960828918655174
2017-12-02Dartmouth,0,0.7225287839381759,0,0.7276077911570874,0,0.730690290418282,0,0.7349397590361446,0,0.682492995847044,0,0.7589962482452393,0,0.7250477891419562,0,0.7231175034578298,0,0.7240826462297961
2017-12-02DePaul,1,0.8132368243605504,1,0.8203067591212595,1,0.8233741393213401,1,0.8253012048192772,1,0.9238770691677858,1,0.8244731426239014,1,0.8256329332127452,1,0.8317834272618156,1,0.8287081801505782
2017-12-02Denver,1,0.6694923790908714,1,0.6886289238033555,1,0.6914953228254059,1,0.6144578313253012,1,0.7143332234908611,1,0.700820803642273,1,0.6784056826146125,1,0.6756071352715182,1,0.6770064088740174
2017-12-02Drake,0,0.8149071231066143,0,0.75914272159539,0,0.7709779971555395,0,0.7831325301204819,0,0.7729932666352035,0,0.7829360961914062,0,0.7816457932631559,0,0.7813336175453434,0,0.7814897053254464
2017-12-02Drexel,0,0.5408135611592904,0,0.5565662808646066,0,0.5403732990018616,0,0.5481927710843374,0,0.5997202990750161,0,0.5848654210567474,0,0.5492385387456457,0,0.5523368686437482,0,0.5507877036368606
2017-12-02Duke,1,0.8808099816769166,1,0.8613090903941735,1,0.8543903235193009,1,0.9036144578313252,1,0.8888424521442869,1,0.8541281819343567,1,0.8706233567614863,1,0.8744231012245507,1,0.8725232289041899
2017-12-02Elon,0,0.6226873319405649,0,0.5077120538669948,1,0.5,0,0.5301204819277109,0,0.5031071511320475,0,0.5279990732669829,0,0.5407020511706077,0,0.5378098398752349,0,0.539255945466246
2017-12-02Florida_Intl,1,0.5785929000415183,1,0.5677099725725431,1,0.5762523584535133,1,0.6204819277108434,0,0.5305713229070375,1,0.5750720500946045,1,0.5724592287938681,1,0.5697291838444098,1,0.5710942062671651
2017-12-02Fresno_St,1,0.6821623217414264,1,0.6599947826626197,1,0.6299076786850507,1,0.536144578313253,1,0.7412788542189089,1,0.6811145544052124,1,0.6511471580471712,1,0.647944030333891,1,0.6495455941178547
